iter	Passed	Remaining
668	803	397
669	803	395
670	804	394
671	805	393
672	805	391
673	807	390
674	812	390
675	812	389
676	813	388
677	814	387
678	815	385
679	816	384
680	817	382
681	818	381
682	818	379
683	819	378
684	820	377
685	820	375
686	821	374
687	822	372
688	826	372
689	827	371
690	828	370
691	828	368
692	829	367
693	830	366
694	831	364
695	831	363
696	832	361
697	833	360
698	833	358
699	834	357
700	834	356
701	835	354
702	836	353
703	839	352
704	839	351
705	840	350
706	841	348
707	842	347
708	842	345
709	843	344
710	844	343
711	844	341
712	845	340
713	846	339
714	847	337
715	847	336
716	848	334
717	849	333
718	849	332
719	850	330
720	852	329
721	854	329
722	855	327
723	856	326
724	857	325
725	857	323
726	858	322
727	859	321
728	860	319
729	860	318
730	861	316
731	862	315
732	862	314
733	863	312
734	864	311
735	865	310
736	865	308
737	866	307
738	867	306
739	869	305
740	870	304
741	871	302
742	872	301
743	872	300
744	873	299
745	874	297
746	874	296
747	875	295
748	876	293
749	876	292
750	877	290
751	878	289
752	878	288
753	879	286
754	880	285
755	880	284
756	881	282
757	882	281
758	884	280
759	885	279
760	886	278
761	887	277
762	887	275
763	888	274
764	889	273
765	890	271
766	891	270
767	891	269
768	892	268
769	893	266
770	893	265
771	894	264
772	895	262
773	895	261
774	896	260
775	898	259
776	899	258
777	900	256
778	901	255
779	902	254
780	902	253
781	903	251
782	904	250
783	905	249
784	905	248
785	906	246
786	907	245
787	908	244
788	908	243
789	909	241
790	910	240
791	910	239
792	911	238
793	912	236
794	913	235
795	914	234
796	915	233
797	916	231
798	916	230
799	917	229
800	918	228
801	918	226
802	919	225
803	919	224
804	920	222
805	921	221
806	921	220
807	922	219
808	923	217
809	923	216
810	924	215
811	925	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	929	206
818	930	205
819	931	204
820	932	203
821	932	201
822	933	200
823	934	199
824	934	198
825	935	197
826	936	195
827	937	194
828	938	193
829	939	192
830	940	191
831	942	190
832	944	189
833	946	188
834	947	187
835	947	185
836	948	184
837	950	183
838	951	182
839	951	181
840	952	180
841	953	178
842	954	177
843	954	176
844	955	175
845	955	173
846	956	172
847	957	171
848	957	170
849	959	169
850	960	168
851	961	166
852	961	165
853	962	164
854	962	163
855	963	162
856	964	160
857	964	159
858	965	158
859	966	157
860	966	156
861	967	154
862	967	153
863	968	152
864	969	151
865	969	150
866	970	148
867	971	147
868	971	146
869	972	145
870	973	144
871	974	143
872	976	141
873	977	140
874	977	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	133
880	982	132
881	983	131
882	984	130
883	984	129
884	985	128
885	986	126
886	987	125
887	987	124
888	988	123
889	989	122
890	990	121
891	991	120
892	992	118
893	993	117
894	994	116
895	994	115
896	995	114
897	996	113
898	997	112
899	997	110
900	998	109
901	999	108
902	999	107
903	1000	106
904	1001	105
905	1001	103
906	1002	102
907	1003	101
908	1004	100
909	1005	99
910	1005	98
911	1006	97
912	1007	95
913	1007	94
914	1008	93
915	1009	92
916	1009	91
917	1010	90
918	1011	89
919	1011	87
920	1012	86
921	1012	85
922	1013	84
923	1014	83
924	1014	82
925	1015	81
926	1015	80
927	1016	78
928	1017	77
929	1017	76
930	1018	75
931	1019	74
932	1020	73
933	1021	72
934	1022	71
935	1022	69
936	1023	68
937	1024	67
938	1025	66
939	1025	65
940	1026	64
941	1027	63
942	1028	62
943	1028	61
944	1029	59
945	1030	58
946	1030	57
947	1031	56
948	1032	55
949	1033	54
950	1033	53
951	1035	52
952	1036	51
953	1037	50
954	1038	48
955	1038	47
956	1039	46
957	1040	45
958	1040	44
959	1041	43
960	1042	42
961	1043	41
962	1043	40
963	1044	38
964	1044	37
965	1045	36
966	1046	35
967	1046	34
968	1047	33
969	1048	32
970	1048	31
971	1049	30
972	1050	29
973	1052	28
974	1052	26
975	1053	25
976	1055	24
977	1056	23
978	1057	22
979	1063	21
980	1064	20
981	1068	19
982	1069	18
983	1070	17
984	1071	16
985	1072	15
986	1073	14
987	1074	13
988	1075	11
989	1076	10
990	1077	9
991	1078	8
992	1079	7
993	1080	6
994	1084	5
995	1085	4
996	1086	3
997	1087	2
998	1088	1
999	1089	0
